iter	Passed	Remaining
0	143	142894
1	147	73446
2	150	50085
3	154	38427
4	157	31431
5	161	26742
6	164	23392
7	166	20650
8	168	18509
9	169	16794
10	171	15395
11	172	14223
12	174	13232
13	175	12383
14	177	11646
15	178	11004
16	180	10433
17	181	9928
18	183	9475
19	185	9067
20	186	8699
21	188	8362
22	189	8055
23	191	7773
24	192	7516
25	194	7285
26	195	7062
27	197	6854
28	198	6660
29	200	6482
30	202	6314
31	203	6157
32	205	6010
33	206	5872
34	208	5739
35	209	5615
36	211	5497
37	212	5386
38	214	5279
39	215	5177
40	217	5080
41	218	4990
42	220	4901
43	221	4820
44	223	4741
45	225	4667
46	226	4597
47	228	4530
48	229	4463
49	231	4397
50	232	4334
51	234	4275
52	236	4217
53	237	4161
54	239	4107
55	240	4056
56	242	4006
57	243	3958
58	245	3910
59	246	3864
60	248	3820
61	249	3779
62	251	3739
63	252	3698
64	254	3659
65	255	3621
66	257	3584
67	258	3538
68	259	3503
69	261	3469
70	262	3437
71	264	3407
72	265	3375
73	267	3346
74	268	3317
75	270	3289
76	272	3260
77	273	3233
78	275	3208
79	276	3181
80	278	3155
81	279	3130
82	281	3106
83	282	3082
84	283	3053
85	285	3031
86	286	3004
87	287	2982
88	289	2961
89	290	2941
90	292	2920
91	293	2901
92	295	2881
93	296	2862
94	298	2843
95	300	2825
96	301	2807
97	303	2789
98	304	2772
99	306	2756
100	308	2744
101	309	2721
102	310	2706
103	312	2689
104	314	2676
105	315	2662
106	317	2647
107	318	2631
108	320	2618
109	321	2604
110	323	2590
111	324	2576
112	326	2561
113	327	2549
114	329	2535
115	330	2520
116	332	2507
117	333	2495
118	335	2480
119	336	2467
120	338	2455
121	339	2443
122	340	2426
123	341	2414
124	343	2403
125	344	2391
126	346	2380
127	347	2366
128	348	2355
129	350	2345
130	352	2335
131	353	2325
132	355	2315
133	356	2305
134	358	2295
135	359	2285
136	361	2276
137	362	2264
138	364	2255
139	365	2245
140	367	2236
141	368	2227
142	370	2217
143	371	2209
144	373	2200
145	374	2192
146	376	2186
147	378	2181
148	380	2174
149	382	2166
150	383	2158
151	385	2149
152	386	2141
153	388	2133
154	389	2125
155	391	2117
156	392	2110
157	394	2102
158	396	2094
159	397	2086
160	399	2079
161	400	2071
162	402	2064
163	403	2057
164	405	2050
165	406	2043
166	408	2036
167	409	2028
168	411	2021
169	412	2014
170	414	2008
171	415	2001
172	417	1995
173	419	1991
174	421	1984
175	422	1978
176	424	1972
177	425	1965
178	427	1959
179	428	1953
180	429	1943
181	430	1937
182	432	1931
183	434	1925
184	435	1919
185	437	1913
186	438	1907
187	440	1901
188	441	1895
189	443	1889
190	444	1884
191	446	1879
192	448	1874
193	449	1868
194	451	1863
195	452	1857
196	454	1852
197	455	1846
198	457	1840
199	458	1835
200	460	1829
201	461	1824
202	463	1819
203	464	1813
204	466	1808
205	467	1802
206	469	1797
207	470	1792
208	472	1787
209	473	1782
210	475	1777
211	476	1772
212	478	1767
213	480	1763
214	481	1758
215	483	1753
216	484	1748
217	486	1744
218	487	1739
219	489	1734
220	490	1729
221	492	1724
222	493	1720
223	495	1715
224	496	1710
225	498	1706
226	499	1701
227	501	1696
228	502	1691
229	504	1688
230	506	1685
231	507	1680
232	509	1676
233	510	1672
234	512	1667
235	513	1663
236	515	1659
237	516	1654
238	518	1650
239	519	1646
240	521	1641
241	522	1637
242	524	1633
243	526	1629
244	527	1625
245	529	1621
246	530	1617
247	532	1613
248	533	1609
249	535	1605
250	536	1601
251	538	1597
252	539	1592
253	541	1589
254	542	1585
255	544	1581
256	545	1577
257	547	1573
258	548	1569
259	550	1565
260	551	1561
261	553	1557
262	554	1553
263	556	1550
264	557	1546
265	559	1542
266	560	1539
267	562	1535
268	563	1531
269	565	1527
270	566	1524
271	568	1520
272	569	1516
273	571	1513
274	572	1509
275	574	1505
276	575	1502
277	577	1498
278	578	1495
279	580	1491
280	581	1488
281	583	1484
282	584	1481
283	586	1477
284	587	1474
285	589	1470
286	590	1467
287	592	1463
288	593	1460
289	595	1457
290	596	1453
291	598	1450
292	599	1447
293	601	1443
294	602	1440
295	604	1437
296	605	1433
297	607	1430
298	608	1427
299	610	1423
300	611	1420
301	613	1417
302	614	1414
303	616	1410
304	617	1407
305	619	1404
306	620	1401
307	622	1397
308	623	1394
309	625	1391
310	626	1388
311	628	1385
312	629	1382
313	631	1378
314	632	1375
315	634	1372
316	635	1369
317	637	1366
318	638	1363
319	640	1360
320	641	1357
321	643	1354
322	644	1350
323	645	1347
324	647	1344
325	648	1341
326	650	1338
327	651	1335
328	653	1332
329	654	1329
330	656	1326
331	657	1323
332	659	1320
333	660	1317
334	662	1315
335	663	1312
336	665	1309
337	667	1306
338	668	1303
339	669	1300
340	671	1297
341	673	1294
342	674	1292
343	676	1289
344	677	1286
345	678	1283
346	680	1280
347	682	1277
348	683	1274
349	685	1272
350	686	1269
351	687	1266
352	689	1263
353	690	1260
354	692	1258
355	693	1255
356	695	1252
357	696	1249
358	698	1246
359	699	1244
360	701	1241
361	702	1238
362	704	1236
363	705	1233
364	707	1230
365	708	1227
366	710	1225
367	711	1222
368	713	1220
369	714	1217
370	716	1214
371	717	1212
372	719	1209
373	721	1206
374	722	1204
375	724	1201
376	725	1199
377	727	1197
378	729	1194
379	730	1192
380	732	1190
381	734	1188
382	736	1185
383	738	1184
384	741	1184
385	743	1182
386	744	1179
387	746	1177
388	747	1174
389	749	1171
390	750	1169
391	752	1166
392	753	1164
393	755	1161
394	756	1159
395	758	1156
396	759	1154
397	761	1151
398	762	1149
399	764	1146
400	765	1144
401	767	1141
402	768	1139
403	770	1136
404	771	1134
405	773	1131
406	775	1129
407	776	1126
408	778	1124
409	779	1121
410	781	1119
411	782	1117
412	784	1114
413	786	1112
414	787	1110
415	789	1107
416	790	1105
417	792	1103
418	793	1100
419	795	1098
420	797	1096
421	799	1094
422	800	1092
423	802	1090
424	804	1087
425	805	1085
426	807	1083
427	808	1080
428	810	1078
429	811	1075
430	813	1073
431	814	1071
432	816	1068
433	817	1066
434	819	1064
435	820	1061
436	822	1059
437	823	1056
438	825	1054
439	826	1052
440	828	1049
441	829	1047
442	831	1045
443	832	1042
444	834	1040
445	835	1038
446	837	1036
447	839	1033
448	840	1031
449	842	1029
450	843	1026
451	845	1024
452	846	1022
453	847	1019
454	849	1017
455	850	1015
456	852	1012
457	853	1010
458	855	1008
459	856	1005
460	858	1003
461	859	1001
462	861	999
463	863	996
464	864	995
465	866	993
466	868	991
467	870	989
468	871	986
469	873	984
470	874	982
471	876	980
472	877	977
473	879	975
474	880	973
475	882	971
476	883	969
477	885	966
478	886	964
479	888	962
480	889	960
481	891	957
482	893	956
483	895	954
484	896	952
485	898	949
486	899	947
487	901	945
488	902	943
489	904	941
490	905	938
491	907	936
492	908	934
493	910	932
494	912	930
495	913	928
496	915	926
497	916	923
498	917	921
499	919	919
500	921	917
501	923	915
502	924	913
503	926	911
504	928	909
505	929	907
506	931	905
507	932	903
508	934	901
509	935	898
510	937	897
511	939	895
512	940	892
513	942	890
514	943	888
515	945	886
516	946	884
517	948	882
518	950	880
519	951	878
520	953	876
521	954	874
522	956	872
523	957	870
524	959	868
525	960	865
